username,isAuthenticated,email,password,role,fullName,age,gender,preferences,currState,pastModelIncreasesGrid,personality
s10,0,s1@s10,s10,student,s10,16,male,s10,"{""characteristics"": {""ability"": 0.79, ""engagement"": 0.84}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s11,0,s1@s11,s11,student,s11,17,male,s11,"{""characteristics"": {""ability"": 0.28, ""engagement"": 0.58}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s12,0,s1@s12,s12,student,s12,18,male,s12,"{""characteristics"": {""ability"": 0.26, ""engagement"": 0.36}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s13,0,s1@s13,s13,student,s13,19,male,s13,"{""characteristics"": {""ability"": 0.58, ""engagement"": 0.56}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s14,0,s1@s14,s14,student,s14,20,male,s14,"{""characteristics"": {""ability"": 0.98, ""engagement"": 0.34}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s15,0,s1@s15,s15,student,s15,21,male,s15,"{""characteristics"": {""ability"": 0.58, ""engagement"": 0.87}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s16,0,s1@s16,s16,student,s16,22,male,s16,"{""characteristics"": {""ability"": 0.25, ""engagement"": 0.29}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s17,0,s1@s17,s17,student,s17,23,male,s17,"{""characteristics"": {""ability"": 0.46, ""engagement"": 0.67}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s18,0,s1@s18,s18,student,s18,24,male,s18,"{""characteristics"": {""ability"": 0.59, ""engagement"": 0.12}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s19,0,s1@s19,s19,student,s19,25,male,s19,"{""characteristics"": {""ability"": 0.28, ""engagement"": 0.59}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s20,0,s1@s20,s20,student,s20,26,male,s20,"{""characteristics"": {""ability"": 0.17, ""engagement"": 0.71}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s21,0,s1@s21,s21,student,s21,27,male,s21,"{""characteristics"": {""ability"": 0.59, ""engagement"": 0.55}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s22,0,s1@s22,s22,student,s22,28,male,s22,"{""characteristics"": {""ability"": 0.14, ""engagement"": 0.52}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s23,0,s1@s23,s23,student,s23,29,male,s23,"{""characteristics"": {""ability"": 0.22, ""engagement"": 0.89}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s24,0,s1@s24,s24,student,s24,30,male,s24,"{""characteristics"": {""ability"": 0.97, ""engagement"": 0.54}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s25,0,s1@s25,s25,student,s25,31,male,s25,"{""characteristics"": {""ability"": 0.54, ""engagement"": 0.36}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s26,0,s1@s26,s26,student,s26,32,male,s26,"{""characteristics"": {""ability"": 0.57, ""engagement"": 0.21}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s27,0,s1@s27,s27,student,s27,33,male,s27,"{""characteristics"": {""ability"": 0.51, ""engagement"": 0.19}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s28,0,s1@s28,s28,student,s28,34,male,s28,"{""characteristics"": {""ability"": 0.01, ""engagement"": 0.5}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s29,0,s1@s29,s29,student,s29,35,male,s29,"{""characteristics"": {""ability"": 0.825, ""engagement"": 0.12}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s30,0,s1@s30,s30,student,s30,36,male,s30,"{""characteristics"": {""ability"": 0.26, ""engagement"": 0.69}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s31,0,s1@s31,s31,student,s31,37,male,s31,"{""characteristics"": {""ability"": 0.69, ""engagement"": 0.69}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s32,0,s1@s32,s32,student,s32,38,male,s32,"{""characteristics"": {""ability"": 0.11, ""engagement"": 0.26}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s33,0,s1@s33,s33,student,s33,39,male,s33,"{""characteristics"": {""ability"": 0.24, ""engagement"": 0.28}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s34,0,s1@s34,s34,student,s34,40,male,s34,"{""characteristics"": {""ability"": 0.57, ""engagement"": 0.59}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s35,0,s1@s35,s35,student,s35,41,male,s35,"{""characteristics"": {""ability"": 0.55, ""engagement"": 0.24}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s36,0,s1@s36,s36,student,s36,42,male,s36,"{""characteristics"": {""ability"": 0.12, ""engagement"": 0.56}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s37,0,s1@s37,s37,student,s37,43,male,s37,"{""characteristics"": {""ability"": 0.97, ""engagement"": 0.54}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s38,0,s1@s38,s38,student,s38,44,male,s38,"{""characteristics"": {""ability"": 0.27, ""engagement"": 0.29}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s39,0,s1@s39,s39,student,s39,45,male,s39,"{""characteristics"": {""ability"": 0.47, ""engagement"": 0.22}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s40,0,s1@s40,s40,student,s40,46,male,s40,"{""characteristics"": {""ability"": 0.17, ""engagement"": 0.78}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s41,0,s1@s41,s41,student,s41,47,male,s41,"{""characteristics"": {""ability"": 0.56, ""engagement"": 0.25}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s42,0,s1@s42,s42,student,s42,48,male,s42,"{""characteristics"": {""ability"": 0.58, ""engagement"": 0.47}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s43,0,s1@s43,s43,student,s43,49,male,s43,"{""characteristics"": {""ability"": 0.97, ""engagement"": 0.15}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s44,0,s1@s44,s44,student,s44,50,male,s44,"{""characteristics"": {""ability"": 0.82, ""engagement"": 0.26}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s45,0,s1@s45,s45,student,s45,51,male,s45,"{""characteristics"": {""ability"": 0.54, ""engagement"": 0.29}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s46,0,s1@s46,s46,student,s46,52,male,s46,"{""characteristics"": {""ability"": 0.81, ""engagement"": 0.80}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s47,1,s1@s47,s47,student,s47,53,male,s47,"{""characteristics"": {""ability"": 0.82, ""engagement"": 0.27}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s48,2,s1@s48,s48,student,s48,54,male,s48,"{""characteristics"": {""ability"": 0.51, ""engagement"": 0.30}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s49,3,s1@s49,s49,student,s49,55,male,s49,"{""characteristics"": {""ability"": 0.11, ""engagement"": 0.61}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
